# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
   97 2026-04-17T10:52:00+05:30       9.63       9.64       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
   98 2026-04-17T10:53:00+05:30       9.64       9.64       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   99 2026-04-17T10:54:00+05:30       9.64       9.64       9.61       9.61   -0.311          TP≥9.6882 SL≤8.676
  100 2026-04-17T10:55:00+05:30       9.62       9.63       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
  101 2026-04-17T10:56:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  102 2026-04-17T10:57:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  103 2026-04-17T10:58:00+05:30       9.62       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  104 2026-04-17T10:59:00+05:30       9.62       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  105 2026-04-17T11:00:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  106 2026-04-17T11:01:00+05:30       9.62       9.64       9.62       9.64   +0.000          TP≥9.6882 SL≤8.676
  107 2026-04-17T11:02:00+05:30       9.64       9.64       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
  108 2026-04-17T11:03:00+05:30       9.64       9.64       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  109 2026-04-17T11:04:00+05:30       9.62       9.63       9.61       9.63   -0.104          TP≥9.6882 SL≤8.676
  110 2026-04-17T11:05:00+05:30       9.62       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  111 2026-04-17T11:06:00+05:30       9.63       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  112 2026-04-17T11:07:00+05:30       9.62       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  113 2026-04-17T11:08:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  114 2026-04-17T11:09:00+05:30       9.62       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
